Rank,Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
1188,http://www.stubhub.com,1,1,-1,1,1
1192,http://www.techbargains.com,-1,1,-1,1,1
1196,http://www.independent.co.uk,1,1,1,1,1
1208,http://www.yellowbook.com,1,1,1,1,1
1215,http://www.art.com,1,1,1,1,1
1225,http://www.dexknows.com,1,1,1,1,1
1231,http://www.garmin.com,1,1,1,1,1
1236,http://www.meijer.com,22,1,22,1,1
1239,http://www.guitarcenter.com,1,1,1,1,1
1240,http://www.cheaptickets.com,1,1,1,1,1
1243,http://www.telldc.com,3,1,3,1,1
1244,http://www.dealspl.us,23,1,23,1,1
1249,http://www.bizjournals.com,1,1,1,1,1
1251,http://www.majorleaguegaming.com,1,1,1,1,1
1253,http://www.caranddriver.com,1,1,1,1,1
1258,http://www.scientificamerican.com,1,1,1,1,1
1280,http://www.gourmetrecipe.com,11,1,11,1,1
1302,http://www.myfitnesspal.com,22,1,22,1,1
1304,http://www.jokeroo.com,15,1,15,1,1
1308,http://www.cancer.org,1,1,1,1,1
1315,http://www.orlandosentinel.com,1,1,1,1,1
1319,http://www.lonelyplanet.com,15,1,15,1,1
1320,http://www.menuism.com,-1,1,-1,1,1
1332,http://www.nasdaq.com,1,1,1,1,1
1341,http://www.blip.tv,1,1,1,1,1
1346,http://www.happyplace.com,1,1,1,1,1
1351,http://www.yummly.com,1,1,-1,1,1
1352,http://www.offerpop.com,23,1,23,1,1
1359,http://www.zabasearch.com,1,1,1,1,1
1363,http://www.syracuse.com,1,1,1,1,1
1370,http://www.americanlanternalerts.com,1,1,1,1,1
1371,http://www.wsbtv.com,1,1,1,1,1
1373,http://www.bloglovin.com,23,1,23,-1,-1
1378,http://www.americanidol.com,1,1,1,1,1
1382,http://www.diynetwork.com,-1,1,-1,1,1
1391,http://www.kraftrecipes.com,12,1,12,1,1
1396,http://www.travelandleisure.com,13,1,13,1,1
1407,http://www.pennlive.com,1,1,1,1,1
1425,http://www.telly.com,1,1,1,1,1
1426,http://www.enotes.com,1,1,1,1,1
1429,http://www.steadyhealth.com,1,1,1,1,1
1430,http://www.memegenerator.net,-1,1,-1,1,1
1439,http://www.getitfree.us,1,1,1,1,1
1441,http://www.businessconsumeralliance.org,24,1,24,1,-1
1442,http://www.ebayclassifieds.com,1,1,-1,1,1
1443,http://www.dailyfinance.com,1,1,1,1,1
1446,http://www.liquor.com,-1,1,-1,1,1
1448,http://www.thesmokinggun.com,11,1,11,1,1
1455,http://www.bhg.com,1,1,1,1,1
1471,http://www.1saleaday.com,1,1,1,1,1
1474,http://www.restaurant.com,1,1,1,1,1
1477,http://www.spiegel.de,1,1,1,1,1
1478,http://www.ninjakiwi.com,1,1,1,1,1
1484,http://www.relish.com,1,1,1,1,1
1500,http://www.masslive.com,1,1,1,1,1
1505,http://www.1800flowers.com,1,1,1,1,1
1508,http://www.made-in-china.com,1,1,1,1,-1
1511,http://www.zvents.com,10,10,10,10,10
1516,http://www.youbeauty.com,1,1,1,1,1
1532,http://www.mrfood.com,-1,1,-1,1,1
1539,http://www.redbubble.com,-1,1,-1,1,1
1547,http://www.dreamstime.com,14,14,14,14,14
1553,http://www.411.info,1,1,1,-1,-1
1555,http://www.listal.com,1,1,1,1,1
1557,http://www.discogs.com,1,1,1,-1,-1
1566,http://www.tickets.com,10,10,10,10,10
1585,http://www.flickriver.com,1,1,1,1,1
1590,http://www.depositfiles.com,1,1,1,1,1
1594,http://www.southparkstudios.com,10,10,10,10,10
1605,http://www.rafflecopter.com,14,14,14,14,14
1616,http://www.9gag.com,1,1,1,1,1
1625,http://www.dealchicken.com,23,1,23,-1,-1
1627,http://www.nbcdfw.com,1,1,1,1,1
1630,http://www.teleflora.com,1,1,-1,-1,-1
1633,http://www.eviesays.com,1,1,1,1,1
1636,http://www.viator.com,1,1,1,1,1
1649,http://www.wikidot.com,1,1,1,1,1
1656,http://www.pjmedia.com,-1,1,-1,1,1
1659,http://www.lockerz.com,1,1,1,1,1
1661,http://www.theknot.com,23,1,23,1,1
1664,http://www.ea.com,14,14,14,14,14
1673,http://www.wajam.com,1,1,1,1,1
1677,http://www.diabetes.org,1,1,1,-1,-1
1686,http://www.ebags.com,1,1,1,1,1
1688,http://www.parade.com,-1,1,1,1,1
1690,http://www.cincinnati.com,12,1,12,1,1
1694,http://www.mylife.com,1,1,1,1,1
1698,http://www.ziprealty.com,1,1,1,1,1
1707,http://www.keyingredient.com,1,1,1,-1,1
1713,http://www.pgpartner.com,1,1,1,-1,1
1714,http://www.badoo.com,1,1,1,1,1
1718,http://www.forlocations.com,2,2,2,2,2
1725,http://www.businessdictionary.com,1,1,1,1,1
1729,http://www.rent.com,1,1,1,1,-1
1745,http://www.askubuntu.com,1,1,1,1,1
1753,http://www.syfy.com,1,1,1,1,1
1759,http://www.paperlesspost.com,1,1,1,1,1
1770,http://www.flightstats.com,1,1,1,1,1
1781,http://www.thestar.com,1,1,1,1,1
1785,http://www.gamesgames.com,1,1,1,1,1
1794,http://www.kinja.com,1,1,1,1,1
1803,http://www.virtualtourist.com,1,1,1,-1,1
1807,http://www.indystar.com,12,1,12,1,1
1809,http://www.newspapers.com,1,1,-1,1,1
1821,http://www.easytobook.com,1,1,1,1,1
1841,http://www.nextag.com,-1,1,-1,1,1
1847,http://www.christianitytoday.com,1,1,1,1,1
1853,http://www.8tracks.com,1,1,1,1,1
1870,http://www.ngeo.com,1,1,1,1,1
1872,http://www.entrepreneur.com,1,1,1,1,1
1875,http://www.familybuilder.com,20,1,20,1,-1
1896,http://www.destructoid.com,1,1,1,1,1
1901,http://www.stipple.com,1,1,1,1,1
1902,http://www.cardomain.com,10,10,10,10,10
1906,http://www.games.com,1,1,1,1,1
1917,http://www.nbcwashington.com,1,1,1,1,1
1921,http://www.bannersnack.com,1,1,1,1,1
1933,http://www.lionbrand.com,14,14,14,14,14
1935,http://www.flipkey.com,1,1,1,1,1
1963,http://www.hgtvremodels.com,-1,1,-1,1,1
1974,http://www.serverfault.com,1,1,1,1,1
1977,http://www.phys.org,1,1,1,1,1
1978,http://www.tvfanatic.com,1,1,1,1,1
1986,http://www.pga.com,1,1,1,1,1
1990,http://www.mirror.co.uk,1,1,1,1,1
1992,http://www.wowwiki.com,1,1,1,1,1
2014,http://www.fatwallet.com,1,1,1,1,1
2018,http://www.lampsplus.com,10,10,10,10,10
2023,http://www.adbutler-kaon.com,14,14,14,14,14
2028,http://www.onekingslane.com,1,1,1,1,1
2039,http://www.nbcbayarea.com,1,1,1,1,1
2040,http://www.pricegrabber.com,1,1,1,-1,1
2044,http://www.aolanswers.com,1,1,1,1,1
2047,http://www.articlesbase.com,1,1,1,1,1
2049,http://www.trailer.ly,1,1,1,-1,1
2065,http://www.wyndhamrewards.com,1,1,1,1,1
2073,http://www.fontspace.com,1,1,1,1,1
2093,http://www.veoh.com,-1,1,-1,1,1
2097,http://www.oneall.com,1,1,1,1,1
2117,http://www.moddb.com,1,1,1,1,1
2124,http://www.mypoints.com,1,1,1,1,1
2137,http://www.westelm.com,1,1,1,1,1
2140,http://www.gsn.com,1,1,1,1,1
2145,http://www.crackberry.com,1,1,1,1,1
2147,http://www.naturallycurly.com,1,1,1,1,1
2154,http://www.managemylife.com,1,1,1,1,1
2161,http://www.inquirehow.com,1,1,1,1,1
2164,http://www.lyrster.com,1,1,-1,1,1
2167,http://www.agame.com,1,1,1,1,1
2178,http://www.walkscore.com,1,1,1,1,1
2189,http://www.neoseeker.com,-1,1,1,1,1
2195,http://www.cdbaby.com,1,1,1,1,1
