Site URL,token vul,secret vul,signed_request vul,referrer vul,DOM vul
http://www.medhelp.org,10,10,10,10,10
http://www.alexa.com,1,1,1,1,1
http://www.sun-sentinel.com,1,1,1,1,1
http://www.apartmentguide.com,1,1,1,1,1
http://www.refinery29.com,1,1,1,1,1
http://www.asus.com,1,1,1,1,1
http://www.justin.tv,11,1,11,1,1
http://www.c-spanarchives.org,1,1,1,-1,1
http://www.techspot.com,1,1,1,1,1
http://www.avclub.com,23,1,23,1,1
http://www.davesgarden.com,12,1,12,1,1
http://www.wwe.com,24,1,24,1,1
http://www.circleofmoms.com,1,1,1,1,1
http://www.godtube.com,1,1,1,1,1
http://www.aliexpress.com,1,1,1,1,1
http://www.lonny.com,-1,1,-1,1,1
http://www.globalpost.com,1,1,1,1,1
http://www.woobox.com,1,1,1,1,1
http://www.movoto.com,16,1,16,1,1
http://www.pissedconsumer.com,1,1,1,1,1
http://www.easybib.com,16,1,16,1,1
http://www.stubhub.com,1,1,-1,1,1
http://www.techbargains.com,-1,1,-1,1,1
http://www.independent.co.uk,1,1,1,1,1
http://www.art.com,1,1,1,1,1
http://www.dexknows.com,1,1,1,1,1
http://www.garmin.com,1,1,1,1,1
http://www.meijer.com,22,1,22,1,1
http://www.guitarcenter.com,1,1,1,1,1
http://www.cheaptickets.com,1,1,1,1,1
http://www.telldc.com,3,1,3,1,1
http://www.dealspl.us,23,1,23,1,1
http://www.bizjournals.com,1,1,1,1,1
http://www.majorleaguegaming.com,1,1,1,1,1
http://www.caranddriver.com,1,1,1,1,1
http://www.scientificamerican.com,1,1,1,1,1
http://www.gourmetrecipe.com,11,1,11,1,1
http://www.myfitnesspal.com,3,1,3,1,1
http://www.jokeroo.com,15,1,15,1,1
http://www.cancer.org,1,1,1,1,1
http://www.orlandosentinel.com,1,1,1,1,1
http://www.lonelyplanet.com,15,1,15,1,1
http://www.menuism.com,-1,1,-1,1,1
http://www.nasdaq.com,1,1,1,1,1
