Site,Reg,Clicks,Score1,VSr1,ISr1,VRr1,IRr1,FB1,Facebook1,OAuth1,login1,signin1,connect1,account1,forum1,Score2,VSr2,ISr2,VRr2,IRr2,FB2,Facebook2,OAuth2,login2,signin2,connect2,account2,forum2
http://www.economist.com,FALSE,2,8,-1,0,-1,0,0,0,0,4,0,0,0,0,10,1,5,1,5,0,1,0,0,0,0,0,0
http://www.cargurus.com,FALSE,2,6,1,1,0,0,0,0,0,1,1,0,2,0,41,0,0,0,0,0,3,1,1,1,0,0,0
http://www.allmusic.com,FALSE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,52,0,0,0,0,0,4,1,3,0,0,0,0
http://www.homeaway.com,FALSE,2,7,0,0,0,0,0,0,0,3,0,0,0,0,29,0,0,0,0,1,1,0,0,1,0,0,0
http://www.bravotv.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.newser.com,TRUE,2,6,0,0,0,0,0,0,0,2,0,0,0,0,51,0,0,0,0,3,1,0,3,0,0,0,0
http://www.howaboutwe.com,TRUE,1,11,-1,0,-1,0,0,2,0,0,0,1,0,0,,,,,,,,,,,,,
http://www.independentlivingnews.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.expotv.com,FALSE,1,12,-1,0,-1,0,1,0,0,3,0,0,0,0,,,,,,,,,,,,,
http://www.education.com,TRUE,2,6,0,0,0,0,0,0,0,0,2,0,0,0,30,0,2,0,2,0,2,0,1,0,1,0,0
http://www.popularmechanics.com,TRUE,1,11,-1,0,-1,0,1,1,0,0,1,0,0,0,,,,,,,,,,,,,
http://www.redfin.com,FALSE,1,13,-1,0,-1,0,2,1,0,2,0,0,0,0,,,,,,,,,,,,,
http://www.gamezone.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.gsmarena.com,TRUE,1,11,-1,0,-1,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.smosh.com,TRUE,2,8,0,0,0,0,0,0,0,4,0,0,0,0,32,0,1,0,1,1,1,2,0,0,2,0,0
http://www.wiredforchange.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.coupons.com,TRUE,2,7,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0
http://www.sparkpeople.com,TRUE,2,5,-1,-1,-1,2,0,0,0,0,0,0,1,0,999,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA
http://www.yousendit.com,FALSE,2,12,-1,0,-1,0,0,2,1,0,0,1,0,0,20,-1,1,-1,1,0,1,1,0,1,0,0,0
http://www.news.com,TRUE,1,12,-1,0,-1,0,0,3,0,1,0,0,0,0,,,,,,,,,,,,,
http://www.zdnet.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.someecards.com,TRUE,2,6,-1,-1,-1,2,0,0,0,0,0,0,2,0,19,2,3,2,3,1,0,0,1,0,0,0,0
http://www.become.com,error,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.arcadeweb.com,TRUE,2,11,0,0,0,0,0,0,0,7,0,0,0,0,29,0,0,0,0,2,0,0,0,0,1,0,0
http://www.wonderhowto.com,FALSE,2,9,0,0,0,0,0,0,0,5,0,0,0,0,29,0,0,0,0,0,2,0,1,0,0,1,0
http://www.myvoicenation.com,FALSE,2,7,0,0,0,0,0,0,0,2,1,0,0,0,39,0,0,0,0,0,3,0,0,1,0,0,0
http://www.polygon.com,TRUE,1,10,-1,0,-1,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,
